1a. State,1b. LEA or entity name,1c. LEA ID,1f. City,2c. Fleet operator 1,2c. Fleet operator 2,3a. Number of ESBs committed ,3n. Current status of bus,3o. Batch,3p. Quarter awarded,3q. Quarter ordered,3r. Quarter delivered,3s. Quarter first operating,3t. Bus OEM,3u. Electric powertrain manufacturer,3v. Model,3w. Type,3x. Dealer,3y. Multiple funding sources used?,3z. Funding source 1,3aa. Agency administering funds 1,3z. Funding source 2,3aa. Agency administering funds 2,3z. Funding source 3,3aa. Agency administering funds 3,3z. Funding source 4,3aa. Agency administering funds 4,3ab. Dollar amount toward bus,3ac. Charging company,3ad. Charging funding source,3ae. Dollar amount toward charger
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q3,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$439,774",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q3,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$415,000",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q3,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$415,000",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q3,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$415,000",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$434,059",,,
CALIFORNIA,San Juan Unified,0634620,Carmichael,,,15,Ordered,1,2018 Q4,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$434,059",,,
CALIFORNIA,Natomas Unified,0600036,Sacramento,,,7,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$448,429",,,
CALIFORNIA,Natomas Unified,0600036,Sacramento,,,7,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$448,429",,,
CALIFORNIA,Arcohe Union Elementary,0603060,Herald,,,1,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$448,643 ",,,
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fairfield City,0101440,Fairfield,,,9,Operating,1,2022 Q4,,2023 Q3,2023 Q3,Lion Electric,,,,,No,Clean School Bus Rebate Program,Environmental Protection Agency (EPA),,,,,,,"$375,000 ",,,"$20,000 "
ALABAMA,Fort Payne City,0101560,Fort Payne,,,6,Operating,1,2019 Q1,2019 Q4,2020 Q3,2020 Q4,Blue Bird,Cummins,All American RE,D,Busworx,No,,,,,,,,,,,,
ALABAMA,Fort Payne City,0101560,Fort Payne,,,6,Operating,1,2019 Q1,2019 Q4,2020 Q3,2020 Q4,Blue Bird,Cummins,All American RE,D,Busworx,No,,,,,,,,,,,,
CALIFORNIA,Central Unified,0607970,Fresno,,,9,Ordered,2,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$443,588",,,
CALIFORNIA,Central Unified,0607970,Fresno,,,9,Ordered,2,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$443,588",,,
CALIFORNIA,Central Unified,0607970,Fresno,,,9,Ordered,2,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$475,751",,,
CALIFORNIA,Central Unified,0607970,Fresno,,,9,Ordered,2,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$475,751",,,
CALIFORNIA,Central Unified,0607970,Fresno,,,9,Ordered,2,2019 Q1,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$433,321",,,
CALIFORNIA,Central Unified,0607970,Fresno,,,9,Ordered,2,2019 Q1,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$445,014",,,
CALIFORNIA,Central Unified,0607970,Fresno,,,9,Ordered,2,2019 Q1,2019 Q4,,,Lion Electric,,LionC,C,,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$433,321",,,
CALIFORNIA,Galt Joint Union Elementary,0614790,Galt,,,4,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$466,091",,,
CALIFORNIA,Galt Joint Union High,0614820,Galt,,,3,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionC,C,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$466,091",,,
CALIFORNIA,River Delta Joint Unified,0633110,Rio Vista,,,4,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,Yes,Diesel Emissions Reduction Act (DERA) rebate,Environmental Protection Agency (EPA),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$285,000 ",,,
CALIFORNIA,River Delta Joint Unified,0633110,Rio Vista,,,4,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,Yes,Diesel Emissions Reduction Act (DERA) rebate,Environmental Protection Agency (EPA),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$285,000 ",,,
CALIFORNIA,River Delta Joint Unified,0633110,Rio Vista,,,4,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,Yes,Diesel Emissions Reduction Act (DERA) rebate,Environmental Protection Agency (EPA),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$285,000 ",,,
CALIFORNIA,River Delta Joint Unified,0633110,Rio Vista,,,4,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,Yes,Diesel Emissions Reduction Act (DERA) rebate,Environmental Protection Agency (EPA),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$285,000 ",,,
CALIFORNIA,Robla Elementary,0633240,Sacramento,,,3,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,Yes,Diesel Emissions Reduction Act (DERA) rebate,Environmental Protection Agency (EPA),Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,"$501,506 ",,,
CALIFORNIA,Robla Elementary,0633240,Sacramento,,,3,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$501,506 ",,,
CALIFORNIA,Robla Elementary,0633240,Sacramento,,,3,Ordered,1,2019 Q1,2019 Q4,,,Lion Electric,,LionD,D,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$501,506 ",,,
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Whittier Union High,0642480,Whittier,,,37,Ordered,1,2019 Q3,2020 Q2,,,,,,A,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$220,203",,,"$60,000"
CALIFORNIA,Chawanakee Unified,0600116,O'Neals,,,2,Ordered,1,2019 Q4,2020 Q3,,,,,,D,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$279,370",,,"$60,000"
CALIFORNIA,Chawanakee Unified,0600116,O'Neals,,,2,Ordered,1,2019 Q4,2020 Q3,,,,,,D,,No,School Bus Replacement Program,California Energy Commission (CEC),,,,,,,"$279,370",,,"$60,000"
CALIFORNIA,Center Joint Unified,0607900,Antelope,,,12,Ordered,1,2019 Q4,2020 Q3,,,Lion Electric,,LionD,D,,Yes,Diesel Emissions Reduction Act (DERA) rebate,Environmental Protection Agency (EPA),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$285,000 ",,,
CALIFORNIA,Center Joint Unified,0607900,Antelope,,,12,Ordered,1,2019 Q4,2020 Q3,,,Lion Electric,,LionD,D,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$412,500 ",,,
CALIFORNIA,Center Joint Unified,0607900,Antelope,,,12,Ordered,1,2019 Q4,2020 Q3,,,Lion Electric,,LionD,D,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$412,500 ",,,
CALIFORNIA,Center Joint Unified,0607900,Antelope,,,12,Ordered,1,2019 Q4,2020 Q3,,,Lion Electric,,LionD,D,,Yes,Community Air Protection Incentive Project,California Air Resources Board (CARB),California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,"$412,500 ",,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
CALIFORNIA,Modesto City Schools,0601330,Modesto,,,64,Ordered,2,2020 Q3,2021 Q2,,,Blue Bird,,All American RE,D,A-Z Bus Sales,No,California's Hybrid and Zero-Emission Truck and Bus Voucher Incentive Program (HVIP),California Air Resources Board (CARB),,,,,,,"$210,000 ",ClipperCreek,,
